RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53349755,20221130,M,50대,부산광역시,500이상700만원 미만,2,10,30,20,80,0,0,0
53349792,20221130,F,60대,서울특별시,300만원 미만,1,1,7,70,0,20,10,0
53349819,20221130,F,60대,경기도,300만원 미만,3,4,23,60,10,10,20,0
53349829,20221130,F,40대,충청북도,300만원 미만,2,2,14,50,0,0,50,0
53349908,20221130,F,40대,서울특별시,700만원 이상,1,1,7,20,20,20,20,20
53349954,20221130,F,20대,인천광역시,300만원 미만,5,6,37,70,0,30,0,0
53349960,20221130,F,50대,경기도,500이상700만원 미만,1,2,9,20,20,10,50,0
53349990,20221130,F,60대,경기도,300이상500만원 미만,2,2,14,0,80,0,20,0
53349997,20221130,F,40대,경기도,700만원 이상,2,5,20,50,0,10,40,0
53350067,20221130,M,50대,경기도,300이상500만원 미만,2,4,18,60,20,10,10,0
53350084,20221130,F,50대,경기도,300이상500만원 미만,5,2,29,80,0,0,20,0
